,Total
742,33.574251000000004
743,33.24621
744,33.331891
745,33.511407
746,33.959187
747,33.544643
748,33.921994
749,33.609660000000005
750,34.728346
751,33.489725
752,33.8827
753,33.364812
754,33.859295
755,33.504975
756,32.644582
757,33.023875000000004
758,33.545899
759,33.315277
760,33.199748
761,33.469871999999995
762,33.139728000000005
763,33.057627
764,33.789175
765,34.911408
766,34.167068
767,33.581283
768,33.239095
769,33.602886
770,33.837928
771,32.926996
772,33.004633999999996
773,33.937758
774,33.804555
775,34.035836
776,33.130416
777,34.08492
778,33.024654999999996
779,33.635092
780,31.972114
781,31.218462000000002
782,30.672344
783,30.119022
784,31.051222
785,29.853817999999997
786,29.896577999999998
787,28.599064
788,29.296467
789,31.933010000000003
790,31.571657000000002
791,31.562618999999998
792,31.073950000000004
793,31.996223999999998
794,31.623132
795,33.267891
796,32.228182
797,33.753765
798,33.328745
799,32.523641
800,32.447843
801,32.559818
802,31.791563000000004
803,31.639931
804,33.71575
805,34.136613
806,33.661983
807,32.947961
808,33.544270999999995
809,33.636711000000005
810,33.760808
811,32.728497
812,31.249341
813,31.332041
814,31.897890000000004
815,33.127581
816,32.950214
817,33.778679
818,32.727978
819,31.192862
820,31.585289
821,31.687579
822,30.492570999999998
823,30.194437
824,30.507813
825,28.913823
826,29.342278
827,28.908766
828,28.345900999999998
829,29.145963000000002
830,28.817695
831,29.020541
832,28.891115999999997
833,30.052287999999997
834,28.741819
835,28.032532
836,28.50024
837,29.293582
838,29.919845
839,29.809883999999997
840,29.225971
841,30.002823
842,30.822207
843,31.117883
844,31.673761
845,31.138112999999997
846,32.679286
847,32.418301
848,32.251070999999996
849,31.377451999999998
850,31.004448999999997
851,30.945548000000002
852,29.610593
853,30.56541
854,30.269101
855,29.767364
856,30.867984999999997
857,29.118877
858,29.060437999999998
859,28.037339000000003
860,30.066997999999998
861,31.088096
862,32.141011
863,30.461711
864,32.139263
865,31.11923
866,30.005249
867,29.569134
868,29.611377
869,29.507217000000004
870,28.69385
871,27.421277000000003
872,25.145429
873,25.325964
874,28.372947
875,29.888008
876,28.961145000000002
877,28.547356
878,30.979633
879,30.462201999999998
880,31.599618
881,32.017656
882,30.157928
883,30.537517
884,30.240395
885,30.705762
886,30.651248000000002
887,31.627367
888,31.389120000000002
889,31.835434
890,29.830336
891,29.890694
892,30.229768
893,29.707189
894,30.293776
895,32.232479
896,30.870756999999998
897,30.720793
898,30.363796
899,29.356085
900,30.039792000000002
901,31.119666
902,28.760619
903,29.337103
904,31.860031
905,32.723027
906,30.712305999999998
907,31.560221000000002
908,30.736953
909,31.847924
910,31.354367000000003
911,31.83081
912,31.870794000000004
913,31.863736
914,32.440464
915,31.282659000000002
916,31.080672
917,31.476238
918,31.060821000000004
919,32.036598999999995
920,32.522966
921,31.575546
922,33.575494
923,32.498166
924,32.785508
925,33.436148
926,31.333650000000002
927,30.827543
928,30.338223
929,30.942914
930,31.221629
931,29.79744
932,30.132843
933,29.028765999999997
934,29.767633000000004
935,29.237164
936,29.286858000000002
937,29.134943
938,29.960802
939,29.086764
940,28.179714
941,29.295993000000003
942,29.712106999999996
943,28.728013999999998
944,28.457576
945,28.189515
946,27.261499999999998
947,27.368265
948,25.645935
949,24.357288
950,27.235128
951,27.379779
952,30.360033
953,31.538592
954,29.465262
955,28.10315
956,26.795473
957,26.093461
958,25.396371000000002
959,26.184455
960,25.089013
961,26.118433000000003
962,24.718788
963,25.434979
964,25.484429
965,25.926582
966,28.470421
967,29.467103
968,29.137958
969,31.075484000000003
970,30.558419
971,28.663899
972,29.928103
973,30.324696
974,29.854775000000004
975,27.943733
976,29.214174
977,29.241858
978,30.610793
979,30.696927000000002
980,30.742889
981,30.750341
982,30.975878
983,30.512422
984,29.732218
985,28.200065000000002
986,27.268286
987,28.122441000000002
988,27.004593
989,26.853744
990,28.360997
991,28.305546
992,26.456371
993,26.530661000000002
994,26.813125
995,27.966408
996,28.655076
997,26.712229
998,27.282193
999,29.067909
1000,29.263033999999998
1001,29.838403
1002,29.688349
1003,30.480376
1004,29.806734999999996
1005,30.849497
1006,30.77364
1007,29.62308
1008,28.909264
1009,26.968030000000002
1010,25.842453
1011,22.803922
1012,23.241909
1013,23.217699
1014,24.603229
1015,24.603229
1016,25.668875
1017,27.802799
1018,28.383300999999996
1019,28.544584999999998
1020,29.913624999999996
1021,30.343151
1022,28.798408000000002
1023,29.611631
1024,28.933410000000002
1025,28.991841
1026,27.747904
1027,26.959773
1028,27.180559000000002
1029,26.912891000000002
1030,26.275674
1031,26.268079
1032,23.770488999999998
1033,23.701525
1034,25.261282
1035,24.993098
1036,26.783011000000002
1037,29.472485
1038,28.996278000000004
1039,29.381115
1040,29.895193
1041,30.927605999999997
1042,29.540745
1043,28.484947000000002
1044,27.439479
1045,26.162732
1046,27.982053
1047,27.245125
1048,27.06177
1049,25.219743
1050,22.97782
1051,21.834404
1052,20.541459000000003
1053,20.961215
1054,20.936677
1055,20.355542
1056,22.165002
1057,24.746574
1058,24.336006
1059,28.064366
1060,27.593640999999998
1061,27.231668
1062,24.455796
1063,26.014887
1064,26.851665
1065,27.470999999999997
1066,26.728854999999996
1067,27.020419
1068,27.806733
1069,28.484514
1070,28.580118
1071,26.316679999999998
1072,27.407261
1073,26.880618
1074,28.761564
1075,29.585816
1076,29.59087
1077,29.675014
1078,31.479614
1079,30.566823
1080,30.66697
1081,28.877823
1082,28.691347999999998
1083,28.429227
1084,28.854672
1085,28.842447999999997
1086,31.387234999999997
1087,30.667029
1088,29.768886000000002
1089,28.685125
1090,30.438965
1091,30.156316
1092,29.223188
1093,29.387351000000002
1094,29.490388
1095,28.511691
1096,27.854908000000002
1097,27.685229
1098,28.054927
1099,28.574483
1100,28.293321
1101,28.626229000000002
1102,28.587842000000002
1103,29.625551
1104,29.461357999999997
1105,29.517644
1106,29.365633000000003
1107,28.826599
1108,29.341006999999998
1109,29.244352
1110,28.484098
1111,28.490965000000003
1112,27.771521
1113,27.614814
1114,27.521303
1115,27.191716
1116,27.489512
1117,27.861099
1118,27.435886
1119,26.307291
1120,27.522627
1121,27.012575
1122,28.619479
1123,28.898043
1124,28.222514
1125,27.286938
1126,25.757109999999997
1127,25.609068
1128,15.922857
1129,14.693302
1130,14.630973000000001
1131,14.429371
1132,13.604728999999999
1133,12.348371
1134,12.358675999999999
1135,12.309597
1136,11.33901
1137,12.80206
1138,13.14104
1139,14.193909999999999
1140,15.707504
1141,17.116637
1142,18.28464
1143,19.528078999999998
1144,19.332061
1145,19.337898000000003
1146,19.443311
1147,19.673849
1148,19.121139
1149,19.753579000000002
1150,19.630577000000002
1151,20.233994000000003
1152,21.126984999999998
1153,21.275068
1154,22.370835
1155,27.871412
1156,28.312989
1157,28.663388
1158,28.747063000000004
1159,27.194914
1160,26.815683
1161,25.577832
1162,27.600229
1163,28.152743
1164,28.169888999999998
1165,28.635209
1166,29.840457999999998
1167,28.916272999999997
1168,29.566939
1169,28.414225000000002
1170,28.150579999999998
1171,29.441563
1172,30.079335999999998
1173,29.204601
1174,29.218785999999998
1175,28.697694
1176,29.889511
1177,29.877814
1178,28.810895
1179,28.452317999999998
1180,29.282978999999997
1181,28.763230999999998
1182,29.652439
1183,29.399306
1184,29.660648000000002
1185,29.449054000000004
1186,29.137345
1187,30.043721
1188,30.507621999999998
1189,30.172359
1190,30.659411
1191,31.287015
1192,30.404223
1193,29.896491
1194,29.151381
1195,30.27497
